edicion lolla,artista,minutaje,pantalla principal,juego de luces,tipo de vestimenta,cambio de vestuario,baile,instrumental en vivo,interaccion publico,escenografía,interrupciones,link presentacion
2018,Lana del Rey,0:40:10,Se muestra un video del paisaje de una playa en blanco y negro.,Focos con luces blancas y tonalidades azules. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,No,"Sí. La artista le comenta al público de qué trata la canción que cantará a continuación, la que además es su favorita.","El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:55:18,Se muestra un video del sol con un cielo anaranjado.,Focos con luces rojas. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,"Sí. Si bien no es un baile coreografiado, la artista se expresa corporalmente al ritmo de la canción.","Sí. Se escucha al piano, el teclado, la batería y la guitarra eléctrica.",Sí. La artista dirige el micrófono con su mano derecha al público para que canten mientras ella baila.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,0:59:19,Se muestra un video de apuestas en blanco y negro.,Focos con luces blancas y tonalidades azules. Destaca un foco de seguimiento a la artista con luz blanca.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,Sí. La artista y sus bailarinas de apoyo cantan y hacen una coreografía al ritmo de la canción.,"Sí. Se escucha al piano, el teclado, la batería y la guitarra eléctrica.",No,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2018,Lana del Rey,1:03:03,Se muestra un video de fuegos artificiales rojos.,Luces destellantes blancas y focos estáticos con luces naranjas.,Vestido azul marino con flores blancas y rojas y botas tipo bucaneras negras.,No,No,"Sí. Se escucha al piano, el teclado, la batería y la guitarra eléctrica.",Sí. La artista bajó del escenario para tirar besos al aire y recibir los regalos del público.,"El escenario está ornamentado con un ambiente de playa, donde se pueden apreciar palmeras ficticias y sillas de playa a sus costados, además de pasto en el suelo.",No,https://youtu.be/QXlaX0vCO68?si=0hnsInMhBKFeqa6s
2019,Kendrick Lamar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Twenty One Pilots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Arctic Monkeys,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Lenny Kravitz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019,Post Malone,0:01:29,En negro,Intercala entre tonos rosados y morados neón.,Conjunto rosado con brillos y estampado de criaturas felinas y serpientes,No,No,No,No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:04:28,En negro,Luces destellantes en verde neón y blanco.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:05:13,En negro,Luces destellantes en verde neón y blanco.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:33:35,Transmite el desplazamiento del artista en el escenario.,Luces destellantes en azul neón y blanco.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,Sí. El artista hace gestos con las manos aludiendo a que canten la canción.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:37:20,Se muestra una gráfica cuadriculada en tono negro y rojo neón.,Luces destellantes en rojo neón y blanco.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:42:14,En negro,Luces rojas se mantienen estáticas.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,"Sí. Saca un porro preguntando al público si fuman, haciendo referencia a que su próxima canción aborda esa temática."," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:45:59,En negro,Focos con luces naranjas neones que se apagan gradualmente.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,Sí. Presenta la canción y su temática e inmediatamente fuma antes de empezar a cantar.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:53:04,En negro,"Focos permanecen apagados hasta que empieza la canción y se encienden con luces destellantes en tonos amarillos, rojos y naranjas neones.",Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,"Sí. El artista interactúa con el público en base a la canción ""Sunflower"" de Spiderman."," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,0:56:02,En negro,Focos con luces amarillas y blancas.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,1:00:20,En negro,Focos con luces naranjas y blancas.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,Sí. El artista comenta sobre su vida y reflexiona sobre ella para luego dar paso a la última canción del show que aborda esa temática.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Post Malone,1:02:00,Transmite el desplazamiento del artista en el escenario.,Luces destellantes en blanco.,Conjunto rosado con muchos brillos y estampado de felinos y serpientes,No,No,No,No  ," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/i4uR6g4Ldu8?si=Ysrn15A5ik_5Bmsj 
2019,Sam Smith,0:01:02,"Figura triangular en tonalidades amarillas, naranjas y verdes. ",Luces destellantes en rojo neón y blanco.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,"Sí. La banda instrumental que lo acompaña está compuesta por una batería, bajo, guitarra eléctrica, piano, coristas, entre otros.",Sí. El artista entra al escenario saludando al público con la mano.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:06:43,Figura triangular en tonalidades rojas que fluctúa al compás de la canción.,Focos con luces amarillas y blancas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,"Sí. Solo la batería lleva el ritmo con el platillo, mientras los demás integrantes de la banda instrumental aplauden. ",Sí. El artista incentiva al público a aplaudir mientras él escucha como corean la canción.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:08:20,Figura triangular en tonalidades anaranjadas.,Focos con luces amarillas y blancas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,Sí. Solo se escucha la melodía del piano de fondo.,"Sí. El artista se dirige al público para decirles que son increíbles, preguntarles cómo lo están pasando y comentar que es su primera vez en el país, entre otras intervenciones previas a interpretar su siguiente canción."," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:37:17,Figura triangular en tonalidades rojas y moradas.,Focos con luces rojas y moradas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,Sí. El artista comienza a bailar coordinadamente junto con las coristas y algunos miembros de la banda instrumental.,"Sí. La banda instrumental que lo acompaña está compuesta por una batería, bajo, guitarra eléctrica, piano, coristas, entre otros.",No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:37:31,Figura triangular en tonalidades rojas y moradas.,Focos con luces rojas y moradas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,Sí. Solo se escucha la melodía de la batería y la guitarra eléctrica de fondo.,Sí. El artista hace un juego de llamada y respuesta con el público para que repitan sus sonidos.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:39:09,Figura triangular en tonalidades anaranjadas.,Focos con luces en tonalidades anaranjadas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,"Sí. Al principio solo se escucha la melodía de la batería, el piano y la guitarra eléctrica de fondo.",Sí. El artista pide al público mover los brazos de lado a lado. ," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:45:59,Figura triangular en tonalidades anaranjadas.,Focos con luces naranjas y blancas.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,"Sí. La banda instrumental que lo acompaña está compuesta por una batería, bajo, guitarra eléctrica, piano, coristas, entre otros.",No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,0:50:49,Figura triangular en tonalidades anaranjadas.,Focos con luces naranjas y otros con luces blancas destellantes.,El artista viste una polera de encaje negra y pantalones de tela negros.,No,No,Sí. Solo se escucha la melodía de la guitarra eléctrica de fondo.,Sí. El artista se dirige al público con un mensaje LGBTQ+ en medio de una de sus canciones que hace referencia a ello.," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,1:18:20,Figura triangular en tonalidades anaranjadas.,Focos con luces naranjas y otros con luces blancas destellantes.,"El artista viste una camisa negra con un estampado brillante de ""hojas"" doradas y pantalones de tela negros.",Sí,No,"Sí. La banda instrumental que lo acompaña está compuesta por una batería, bajo, guitarra eléctrica, piano, coristas, entre otros.",Sí. El artista pide al público mover los brazos de lado a lado. ," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,1:22:53,Figura triangular en color blanco.,Focos con luces azules y otros con luces blancas destellantes.,"El artista viste una camisa negra con un estampado brillante de ""hojas"" doradas y pantalones de tela negros.",No,No,"Sí. La banda instrumental que lo acompaña está compuesta por una batería, bajo, guitarra eléctrica, piano, coristas, entre otros.",No," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Sam Smith,1:23:28,Figura triangular en color blanco.,Focos con luces azules y otros con luces blancas destellantes.,"El artista viste una camisa negra con un estampado brillante de ""hojas"" doradas y pantalones de tela negros.",No,No,Sí. Solo se escucha la melodía del piano de fondo.,"Sí. El artista le dice al público que promete volver a Chile, dice que los ama y les agradece."," No presenta, sólo se aprecian focos con luces de colores en forma de hilera en la parte de arriba y del suelo del escenario.",No,https://youtu.be/FnwiIyef-KI?si=xrgWP-4y2jJEsUUI 
2019,Tiësto,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Foo Fighters ,:00:01:10 ,La pantalla esta en negro.,"Las luces se mantienen estáticas, son todas amarillas y no tienen tanta potencia.","El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,No,Sí. El vocalista mira al público y levanta las manos hacia el aire y hace gestos como si estuviera lanzando besos para entusiasmar a su audiencia.,,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters,:00:04:34,La pantalla esta en negro.,"La presentación comienza con el uso de unas pocas luces, pero cuando la intensidad de la música aumenta las luces comienzan a cambiar y a iluminar aún más el escenario, hace uso de tonalidades blancas, amarillas y azules.","El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,No,,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters,:00:06:20,Se muestra el escenario.,Cambio de luces.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,Sí. El vocalista principal se dirige al público y los invita a cantar una canción con él y a levantar sus brazos.,,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters ,:01:06:51 ,Se enfoca a quien esta tocando un instrumento o hablando.,Las luces se mantienen estáticas y solo son de color blanco.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,"Sí. El vocalista le habla al público y esta introduciendo a cada uno de los miembros de la banda por su nombre para rendir homenaje a su trabajo. Además, les da unos segundos para que puedan lucirse con sus respectivos talentos, por ejemplo, si presenta a quien esta tocando la bateria, entonces le da unos segundos para que haga su ""solo"" con dicho instrumento.",,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters ,:01:11:28,Se muestra el escenario.,Las luces se mantienen estáticas y son de un tono blanco y amarillo.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,"Sí. Cabe señalar que el baterista intercambia lugares con el vocalista, esto dentro del contexto de la presentación que se estaba haciendo de cada integrante de la banda. El baterista hace un homenaje a Queen)","Sí. El baterista le dedica unas palabras al público y realiza la típica interacción que hacia Freddie Mercury: el dice ""eo"" y el público responde.",,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters ,:01:22:01,Se muestra el escenario.,Las luces bajan y luego se encienden con una tonalidad roja.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,No,,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters ,:02:06:00,Se muestra el escenario.,Las luces se mantienen estáticas y con tonos blancos y amarillos.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí  ,"Sí. El vocalista le habla al público y les dice que quiere oirlos gritar, e incluso detiene la banda en vivo un momento para apreciar bien los gritos.",,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters,:02:11:45,La pantalla esta en negro y luego se muestra el escenario.,"Las luces bajan hasta quedar casi a oscuras, luego se encienden con tonos azules y blancos. Esto se hace para darle más emoción a la presentación, ya que es la última canción que el grupo toca.","El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,No,,No,https://youtu.be/MhEW7Qb_DXc
2022,Foo Fighters ,:02:13:00,Se muestra el escenario.,Las luces se mantienen estáticas.,"El vocalista utiliza polera y jeans negros, mientras que los demás miembros utilizan camisas, poleras sin manga, jeans, etc.",No,No,Sí,"Sí. Los miembros de la banda pasan al frente del escenario y saludan a la audiencia, hacen gestos lanzando besos y aplauden.",,No,https://youtu.be/MhEW7Qb_DXc
2022,Martin Garrix,:00:00:47,"Primero muestra puntos blancos en un fondo negro y luego gráficas con líneas blancas que se mueven rapidamente. Además tiene una cruz gigante como parte de su escenografía, la que tiene luces.","Aunque al principio casi no se hace uso de las luces, cuando la canción principal comienza a sonar estas comienzan a parpadear con tonalidades blancas.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.","Sí. Cuando inicia su presentación, el artista le grita al público para animarlos.",,No,https://youtu.be/z8JJ0isjCWo
2022,Martin Garrix,:00:04:30,"Muestra líneas que oscilan entre el color rojo y rosado, las que se mueven al ritmo de la canción. A veces aparece una cara del mismo tono.","Hay luces azules tipo ""puntero"" que se dirigen hacia el público.","El artista esta con polera manga corta y jeans, ambos negros.",No,"Sí. Si bien no es un baile coreografiado, el artista hace una especie de baile improvisado, que, para este tipo de música, corresponde más a ""saltos"" con las manos en el aire.","No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",Sí. El artista se mueve del lugar en donde esta su consola y salta junto al público para disfrutar de su propia canción.,,No,https://youtu.be/z8JJ0isjCWo
2022,Martin Garrix,:00:08:25,Muestra,Nuevamente se utilizan luces de tonalidades blancas que parpadean reiteradamente al ritmo de la canción.,"El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",Sí. El artista invita al público a hacer aplausos al ritmo de la canción.,,No,https://youtu.be/z8JJ0isjCWo
2022,Martin Garrix,:00:39:23,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Predominan las luces blancas, amarillas y azules.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",Sí. El artista invita al público a seguir la letra de la canción y además saca su celular para grabarlos mientras lo hacen.,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,:00:40:22,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Se usan luces azules y además se lanza, desde la parte superior del escenario, una especia de cortina amarilla con chispas.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,:00:43:58,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Se lanzan fuegos artificiales color rojo, y se utilizan luces azules junto a luces del mismo color pero tipo ""puntero"".","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,:00:48:52,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Hay luces blancas que parpadean al ritmo de la música, las que luego se mezclan con luces de tonalidades azules. Además, a esto se suma el que lanzan fuego (desde el piso del escenario) hacia arriba. ","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,:01:06:29,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Hay luces azules y verdes que apenas se ven, pero luego se encienden con más fuerza, especialmente las de tonalidad azul.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",Sí. El artista le habla al público y les dice que enciendan las linternas de sus celulares y que las levanten en el aire.,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,:01:08:57,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Hay luces de tonalidades azules y rojas, las que son acompañadas de fuegos artificiales.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Martin Garrix,1:13:18,Intercala entre mostrar al artista y diseños gráficos vinculados a las canciones),"Se utilizan luces de tonalidades blancas, las que se dirigen directamente al público. Estas se acompañan con una especie de humo que sale del escenario.","El artista esta con polera manga corta y jeans, ambos negros.",No,No,"No, ya que al ser un DJ el artista tiene toda su música ya trabajada y la reproduce a través de una consola.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:00:29,"Se muestran clips de Miley ""posando"". Se enfocan sus ojos, su boca, su pelo, entre otras cosas. Al mismo tiempo suena un audio de ella hablando.",Se utilizan luces blancas que parpadean.,NA,No,No,No,No,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:01:40,"Se muestra el escenario, enfocando principalmente a Miley.",Se utilizan luces blancas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:07:52,"Se muestra el escenario, enfocando principalmente a Miley.",Se utilizan luces blancas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.",Sí. Le muestra el micrófono al público y los incita a cantar parte de la canción.,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:33:15,"Se muestra el escenario, enfocando principalmente a Miley.",Se usan luces de tonalidades moradas.,"Polera manga corta blanca oversize con un diseño rojo en la parte frontal, chaqueta de mezclilla sin mangas y con brillos plateados en la parte de la espalda y delantera, gorro verde tipo vaquero. La artista siguen con el enterito puesto, por lo que lo que parecieran ser ""pantalones"" en realidad sigue siendo su enterito color azul/celeste.",Sí,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:35:10,"Se muestra el escenario, enfocando principalmente a Miley.",Se usan luces de tonalidades rojas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.","Sí. La artista empieza a quitarse las prendas que tenía por encima del enterito, incluido el sombrero.",No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.",No,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:37:11,"Se muestra el escenario, enfocando principalmente a Miley.",Se usan luces blancas que se mantienen estáticas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,No,Sí. La artista empieza a leer carteles de los fanáticos y hace comentarios al respecto.,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:46:15,"Se muestra el escenario, enfocando principalmente a Miley.",Se utilizan luces anarajandas que parpadean al ritmo de la canción.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.",Sí. Le dice al público que canten con ella apuntandolos con el micrófono.,,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,0:51:10,"Se muestra el escenario, enfocando principalmente a Miley.",Se usan luces blancas que se mantienen estáticas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,No,"Sí. Le dice al público que esta muy feliz de estar presente en el festival y de estar en sudamerica. Dice que observa que en el público hay muchas banderas de la comunidad LGBT, hombres con maquillaje, etc.",,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,1:18:35,"Se muestra el escenario, enfocando principalmente a Miley.",Se usan luces de tonalidades rojas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.","Sí. Se acerca a la orilla del escenario mientras canta una canción y recibe un cartel de un fanático. Le dice a la persona que le dio el cartel: ""tus padres estarán muy orgullosos de ti"". Además recibe una bandera de la comunidad LGBT y de Chile, y posa para la cámara.",,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,1:21:08,"Se muestra el escenario, enfocando principalmente a Miley.",Se utilizan luces de tonalidades blancas y amarillas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.","Sí. Mientras canta le hace señas a una persona del público como para que le lancen algo, y recibe un collar.",,No,https://youtu.be/uXOek8kaVhU
2022,Miley Cyrus,1:23:04,"Se muestra el escenario, enfocando principalmente a Miley.",Se utilizan luces de tonalidades blancas y amarillas.,"Enterito de cuerpo completo manga corta color azul/celeste con brillos. Además, usa lentes de sol y botas y guantes negros.",No,No,"Sí. Esta acompañada de una banda que cuenta con diversos intrumentos, entre ellos una batería, guitarras, coristas, etc.","Sí. Mientras canta su última canción, se pone una serie de regalos que le hicieron sus fanáticos: una cabeza de cabello, una chaqueta, un pañuelo de la comunidad LGBT.",,No,https://youtu.be/uXOek8kaVhU
2022,A$AP ROCKY,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Alesso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,The Strokes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Machine Gun Kelly,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,Doja Cat,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Billie Eilish,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Drake,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Twenty One Pilots,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Lil Nas X,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2023,Rosalía,0:01:05,"Al principio esta en negro y luego esta completamente en blanco. En la escenografía hay cuadrados gigantes con pantallas en todos sus lados, los que transmiten fondos de colores.",Primero no hay luces y luego hay luces de tonalidades blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco.",No,Sí. Los bailarines de apoyo comienzan el show haciendo una coreografía con cascos con luces blancas. Luego aparece la artista principal con el mismo casco.,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:05:27,"La pantalla de fondo y las de los cuadrados son blancas, pero las pantallas de los lados muestran el escenario.",Se utilizan luces blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco.",No,Sí. Tiene una coreografía con sus bailarines de apoyo.,No,Sí. Le dice al público que canten con ella y los apunta con el micrófono.,,No,https://youtu.be/dQ5s4eeJ5AU
2023,Rosalía,0:07:34,"La pantalla de fondo y las de los cuadrados son  blancas, pero las pantallas de los lados muestran el escenario.",Se utilizan luces blancas.,"Utiliza un enterito negro, un corset con diseños blancos y botas negras con taco. Se pone unos lentes de sol negros.",No,No,No,No,,No,https://youtu.be/dQ5s4eeJ5AU
